Date,Open,High,Low,Vol.,MAD,Price,BuySell
2014-03-13,619.4,636.1,616.1,3410.0,628.74,628.5965446282961,Pass
2014-03-15,614.0,628.8,609.2,3460.0,620.53,620.5328506714791,Pass
2014-03-18,606.4,611.7,585.7,3650.0,615.55,594.7331676714548,Buy
2014-03-19,598.9,607.1,590.1,3580.0,612.35,597.1790642843887,Pass
2014-03-21,566.0,587.4,540.2,3820.0,601.74,566.6988541236382,Pass
2014-03-23,564.3,564.3,538.6,4130.0,588.85,545.2486891957807,Pass
2014-03-24,551.2,572.5,531.3,3670.0,584.21,555.4001358313944,Pass
2014-03-25,567.6,569.7,550.4,3870.0,578.1,555.341526605965,Pass
2014-03-30,477.1,479.0,424.0,3860.0,522.5200000000001,444.1205768231473,Pass
2014-04-03,424.4,448.7,386.7,4019.9999999999995,476.14,421.6183278399724,Pass
2014-04-04,436.3,456.5,415.5,2570.0,464.28999999999996,439.50084682500045,Pass
2014-04-09,466.6,479.7,451.1,3880.0,451.18999999999994,465.5435281132227,Sell
2014-04-10,457.3,463.5,384.6,3650.0,445.18,415.5734255463289,Buy
2014-04-12,435.1,469.8,428.0,5190.0,443.66,459.46300847436083,Sell
2014-04-13,437.6,454.1,409.9,4970.0,442.78999999999996,432.804421041004,Buy
2014-04-14,427.6,497.8,420.1,7620.0,446.18999999999994,484.4243020171984,Sell
2014-04-16,526.4,549.0,496.1,8060.000000000001,461.3,523.8658974762709,Pass
2014-04-17,537.0,537.0,486.9,8000.0,465.25999999999993,501.6525499292265,Pass
2014-04-22,495.2,520.5,483.4,5680.0,494.45,507.6595658928429,Pass
2014-04-23,487.9,510.0,482.3,4740.0,500.41999999999996,501.45965423217206,Pass
2014-04-24,487.3,507.3,477.2,4230.0,502.60999999999996,496.2919063376348,Buy
2014-04-25,500.3,502.5,438.3,6450.0,496.41999999999996,461.2479852830696,Pass
2014-04-26,464.5,468.7,448.6,6890.0,488.51000000000005,455.7186112959427,Pass
2014-04-29,441.9,453.8,430.7,3720.0,472.28000000000003,443.32657608038744,Pass
2014-05-02,460.1,463.4,442.0,3380.0,460.05999999999995,448.872830970663,Pass
2014-05-03,453.7,454.2,429.1,2580.0,455.18999999999994,436.0731475917339,Pass
2014-05-04,438.6,446.6,428.8,3370.0,448.76000000000005,436.97649587535017,Pass
2014-05-05,436.0,443.9,426.4,3040.0,445.4,434.41631788431874,Pass
2014-05-06,430.9,435.0,420.2,4190.0,442.83000000000004,425.2133297769711,Pass
2014-05-07,432.2,458.8,423.5,5030.0,443.16,448.30226515647064,Sell
2014-05-10,445.5,459.5,441.4,450.0,443.65,452.65572679586035,Pass
2014-05-12,433.2,441.1,430.2,1390.0,439.41,435.61190509246865,Pass
2014-05-13,438.2,442.3,432.7,2650.0,438.93999999999994,435.4701083404537,Pass
2014-05-15,442.6,450.0,441.5,2170.0,441.32,445.5059481901585,Pass
2014-05-19,450.1,451.7,441.2,1350.0,444.83000000000004,442.9135273894374,Pass
2014-05-23,515.4,540.9,515.2,2760.0,469.8,534.2955835060163,Pass
2014-05-27,582.0,586.2,555.3,3350.0,514.39,564.6737715088395,Pass
2014-05-30,564.4,613.3,564.0,6210.0,551.28,604.882441163135,Pass
2014-06-04,669.4,669.8,602.1,5600.0,614.1099999999999,623.8702521174441,Pass
2014-06-05,638.9,665.4,635.6,2760.0,621.93,656.7608278867053,Pass
2014-06-07,650.4,659.8,641.0,1970.0,638.05,648.958970354509,Pass
2014-06-08,651.7,658.9,648.7,3310.0,646.7099999999999,652.188980739362,Pass
2014-06-09,651.0,652.1,639.1,3260.0,649.9100000000001,640.6117331422628,Buy
